Table 3. Risk of bias assessment of observational studies (n=14),,,,,,,,,,,,
Study first author,Year,DOI,Selection bias (representative study group: yes/no),Attrition bias (complete follow-up assessment: yes/no),Detection bias (blinded outcome assessor: yes/no),Confounding (adjustment for important confounders: yes/no),Reporting bias (well defined study group: yes/no),Reporting bias (well defined follow-up: yes/no),Reporting bias (well defined outcome: yes/no),Analyses (well defined: yes/no),Overall risk of bias
Bernard Stoecklin,2020,doi.org/10.2807/1560-7917.ES.2020.25.6.2000094,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Serious
Bi,2020,doi.org/10.1016/S1473-3099(20)30287-5,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Serious
Burke,2020,doi.org/10.15585/mmwr.mm6909e1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Serious
Chen,2020,doi.org/10.2196/19540,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Serious
Choi H,2020,doi.org/10.3390/ijerph17113984,Yes,Yes,No,No,Yes,Unclear,Yes,Unclear,Serious
Choi JY,2020,doi.org/10.1136/postgradmedj-2020-137738,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Serious
Cowling,2020,doi.org/10.1016/S2468-2667(20)30090-6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Serious
Davalgi,2020,doi.org/10.47203/IJCH.2020.v32i02SUPP.023,Yes,Yes,No,No,Yes,Unclear,Yes,Yes,Serious
Dinh,2020,doi.org/10.1093/jtm/taaa047,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Serious
Lam,2020,doi.org/10.1016/j.ijid.2020.06.057,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Serious
Nachega,2020,doi.org/10.1093/cid/ciaa695,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Serious
Ng,2020,doi.org/10.15585/mmwr.mm6911e1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Serious
Wilasang,2020,doi.org/10.1093/jtm/taaa095,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Serious
Wong,2020,doi.org/10.1503/cmaj.200563,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Serious
